Index,X,Y,Z,TargetSize,Timestamp
1,309.275,-2372.42,-1232.67,1.5,2026-07-13 09:50:52
2,9.73428,-2320.52,-1230.81,1.5,2026-07-13 09:51:00
3,109.858,-2611.08,-1235.17,1.5,2026-07-13 09:51:05
4,-526.666,-2103.36,-1226.39,1.5,2026-07-13 09:51:14
5,-863.741,-2050.11,-1221.94,1.5,2026-07-13 09:51:19
6,-744.513,-2394.45,-1228.02,1.5,2026-07-13 09:51:24
7,377.346,-1900.4,767.773,1.5,2026-07-13 09:51:36
8,359.874,-1968.55,364.459,1.5,2026-07-13 09:51:45
9,330.242,-2146.23,-65.5911,1.5,2026-07-13 09:52:14
10,486.057,-1919.55,773.849,1.5,2026-07-13 09:52:29
11,474.275,-1988.41,366.913,1.5,2026-07-13 09:52:36
12,446.206,-2162.22,-57.0391,1.5,2026-07-13 09:53:02
13,-508.292,-1740.75,770.212,1.5,2026-07-13 09:53:14
14,-517.41,-1818.39,338.117,1.5,2026-07-13 09:53:24
15,-547.891,-1996.5,-79.9754,1.5,2026-07-13 09:53:40
16,-628.834,-1716.38,594.36,1.5,2026-07-13 09:53:51
17,-637.575,-1795.86,340.685,1.5,2026-07-13 09:54:16
18,-670.686,-1979.82,-89.2907,1.5,2026-07-13 09:54:24
