Index,X,Y,Z,TargetSize,Timestamp
1,309.275,-2397.26,-1233.31,1.5,2026/7/6 20:05
2,9.73428,-2359.37,-1231.25,1.5,2026/7/6 20:05
3,109.858,-2636.58,-1230.83,1.5,2026/7/6 20:05
4,-526.666,-2128.24,-1229.94,1.5,2026/7/6 20:05
5,-863.741,-2068.31,-1231.05,1.5,2026/7/6 20:05
6,-744.513,-2411.09,-1229.64,1.5,2026/7/6 20:05
7,382.961,-1911.62,766.784,1.5,2026/7/6 20:05
8,363.028,-1972.43,366.472,1.5,2026/7/6 20:05
9,334.355,-2145.07,-66.8727,1.5,2026/7/6 20:05
10,489.169,-1918.39,775.865,1.5,2026/7/6 20:05
11,476.985,-1979.92,367.632,1.5,2026/7/6 20:05
12,447.315,-2160.06,-56.9371,1.5,2026/7/6 20:05
13,-513.401,-1776.58,771.197,1.5,2026/7/6 20:05
14,-529.017,-1822.52,340.097,1.5,2026/7/6 20:05
15,-551.387,-2027.08,-80.9732,1.5,2026/7/6 20:05
16,-631.219,-1755.22,596.1289,1.5,2026/7/6 20:05
17,-640.861,-1765.92,338.664,1.5,2026/7/6 20:05
18,-676.794,-1987.65,-90.2874,1.5,2026/7/6 20:05
